iter	Passed	Remaining
450	1077	1311
451	1079	1309
452	1082	1306
453	1084	1304
454	1087	1302
455	1089	1299
456	1091	1297
457	1094	1294
458	1096	1292
459	1098	1289
460	1101	1287
461	1104	1286
462	1107	1283
463	1109	1282
464	1112	1279
465	1114	1277
466	1117	1275
467	1120	1273
468	1122	1270
469	1124	1268
470	1127	1265
471	1129	1263
472	1132	1261
473	1136	1260
474	1138	1258
475	1141	1256
476	1143	1253
477	1145	1251
478	1148	1249
479	1150	1246
480	1153	1244
481	1155	1241
482	1157	1239
483	1160	1236
484	1162	1234
485	1164	1232
486	1167	1229
487	1169	1227
488	1171	1224
489	1174	1222
490	1176	1219
491	1178	1217
492	1181	1214
493	1183	1212
494	1185	1209
495	1188	1207
496	1190	1204
497	1192	1202
498	1195	1199
499	1197	1197
500	1199	1194
501	1202	1192
502	1204	1190
503	1206	1187
504	1209	1185
505	1211	1183
506	1214	1180
507	1216	1178
508	1219	1175
509	1221	1173
510	1223	1171
511	1226	1168
512	1228	1166
513	1230	1163
514	1233	1161
515	1235	1158
516	1237	1156
517	1240	1154
518	1242	1151
519	1245	1149
520	1247	1146
521	1249	1144
522	1251	1141
523	1254	1139
524	1256	1137
525	1259	1134
526	1261	1132
527	1263	1129
528	1265	1127
529	1268	1124
530	1271	1122
531	1273	1120
532	1275	1117
533	1278	1115
534	1280	1113
535	1283	1110
536	1285	1108
537	1287	1105
538	1290	1103
539	1292	1101
540	1294	1098
541	1297	1096
542	1300	1094
543	1302	1092
544	1305	1089
545	1307	1087
546	1310	1085
547	1312	1082
548	1315	1080
549	1317	1077
550	1319	1075
551	1322	1073
552	1324	1070
553	1326	1068
554	1329	1065
555	1331	1063
556	1334	1061
557	1336	1058
558	1338	1056
559	1341	1053
560	1343	1051
561	1345	1048
562	1348	1046
563	1350	1044
564	1352	1041
565	1355	1039
566	1357	1036
567	1360	1034
568	1362	1032
569	1364	1029
570	1367	1027
571	1369	1024
572	1371	1022
573	1374	1020
574	1377	1017
575	1379	1015
576	1381	1012
577	1384	1010
578	1386	1008
579	1388	1005
580	1391	1003
581	1393	1000
582	1395	998
583	1398	995
584	1400	993
585	1402	990
586	1405	988
587	1407	986
588	1409	983
589	1411	981
590	1414	978
591	1416	976
592	1418	973
593	1421	971
594	1423	969
595	1426	966
596	1428	964
597	1430	961
598	1433	959
599	1435	957
600	1438	954
601	1440	952
602	1442	949
603	1444	947
604	1447	944
605	1449	942
606	1452	940
607	1454	937
608	1457	935
609	1459	933
610	1461	930
611	1464	928
612	1467	926
613	1469	923
614	1471	921
615	1474	919
616	1476	916
617	1478	914
618	1481	912
619	1484	909
620	1486	907
621	1489	905
622	1492	902
623	1494	900
624	1497	898
625	1499	895
626	1502	893
