iter	RMSE
482	4.808903526
483	4.804794051
484	4.804052165
485	4.802827505
486	4.800797228
487	4.799011592
488	4.796375937
489	4.793849457
490	4.790547146
491	4.787979441
492	4.785773892
493	4.784667822
494	4.782053689
495	4.777754572
496	4.774283665
497	4.77301155
498	4.767947586
499	4.764938295
500	4.762632347
501	4.760486213
502	4.757620616
503	4.752539565
504	4.750879225
505	4.74686274
506	4.743164286
507	4.738953427
508	4.737522576
509	4.736208278
510	4.732905339
511	4.729908733
512	4.727898
513	4.725734676
514	4.721727758
515	4.71895875
516	4.716242296
517	4.714345634
518	4.709486667
519	4.707678715
520	4.705937801
521	4.703723223
522	4.700320011
523	4.697767522
524	4.695880886
525	4.692897501
526	4.690750029
527	4.687971725
528	4.684853057
529	4.682882702
530	4.681127282
531	4.677938684
532	4.67630442
533	4.673748531
534	4.669747686
535	4.667265304
536	4.664763455
537	4.662755813
538	4.658278762
539	4.657008649
540	4.655271043
541	4.652686912
542	4.649031371
543	4.646913377
544	4.644214584
545	4.641982716
546	4.641208805
547	4.638862498
548	4.637541177
549	4.633496622
550	4.630710875
551	4.627688831
552	4.626260155
553	4.624271202
554	4.621108659
555	4.618247578
556	4.614332293
557	4.611676038
558	4.609092998
559	4.60659782
560	4.604716309
561	4.603329371
562	4.601417111
563	4.599842496
564	4.59622215
565	4.594370429
566	4.592365094
567	4.588884343
568	4.586501609
569	4.584445907
570	4.582038984
571	4.579718136
572	4.576451342
573	4.574468319
574	4.572952201
575	4.571486326
576	4.568615563
577	4.566109535
578	4.562844405
579	4.560490481
580	4.55850789
581	4.55562041
582	4.553832075
583	4.551106415
584	4.548069008
585	4.544668171
586	4.542723003
587	4.539976394
588	4.537872397
589	4.535190519
590	4.532226762
591	4.530010952
592	4.527190598
593	4.52442563
594	4.522549679
595	4.520336689
596	4.518187208
597	4.515305647
598	4.512368264
599	4.510671676
600	4.50864045
601	4.506947583
602	4.504341465
603	4.50316204
604	4.501936915
605	4.499396387
606	4.497989105
607	4.49527084
608	4.493416822
609	4.49112845
610	4.489086479
611	4.488237712
612	4.485852892
613	4.483871599
614	4.48195828
615	4.47900552
616	4.476549236
617	4.47485497
618	4.470430487
619	4.469605503
620	4.465892002
621	4.463504422
622	4.459897739
623	4.456807493
624	4.454007147
625	4.450146068
626	4.447438003
627	4.445571146
628	4.44288325
629	4.4397148
630	4.43817602
631	4.43738346
632	4.435171207
633	4.431652235
634	4.429764043
635	4.427842993
636	4.425204908
637	4.424436091
638	4.421931328
639	4.420966751
640	4.420168645
641	4.418498172
642	4.416214576
643	4.414529323
644	4.41135645
645	4.40946328
646	4.408887064
647	4.40499878
648	4.401101573
649	4.39935149
650	4.395784715
651	4.392167334
652	4.39090586
653	4.389256727
654	4.387546195
655	4.385131238
656	4.383394574
657	4.380813435
658	4.379050366
659	4.377166464
660	4.374290945
661	4.370827121
662	4.369583273
663	4.367400823
664	4.364919247
665	4.362899217
666	4.360722764
667	4.359142128
668	4.35745341
669	4.356486062
670	4.355386369
671	4.35412638
672	4.352319619
673	4.350604789
674	4.348342281
675	4.347320705
676	4.344861378
677	4.342417571
678	4.340452231
679	4.339071596
680	4.336577307
681	4.333992451
682	4.332529957
683	4.330054452
684	4.328560234
685	4.323885128
686	4.323146918
687	4.321025401
688	4.318996161
689	4.318209749
690	4.31656567
691	4.314539152
692	4.31177951
693	4.30774359
694	4.305063229
695	4.30369641
696	4.302940703
697	4.300046424
698	4.298623724
699	4.296418452
700	4.293003549
701	4.290466464
702	4.28881153
703	4.287849281
704	4.285627402
705	4.283024745
706	4.28100048
707	4.278369685
708	4.276327601
709	4.274957648
710	4.273005611
711	4.269166255
712	4.266561908
713	4.264858496
714	4.263141103
715	4.262053875
716	4.258700244
717	4.255987765
718	4.254431365
719	4.253025809
720	4.252443194
721	4.249538154
722	4.248439911
723	4.245240243
724	4.243905176
725	4.242727655
726	4.241669746
727	4.24094784
728	4.23945685
729	4.237478751
730	4.236672145
731	4.234382771
732	4.232608477
733	4.231074443
734	4.229254519
735	4.227599671
736	4.226506995
737	4.224684121
738	4.223227785
739	4.22231268
740	4.219548383
741	4.216913331
742	4.215461776
743	4.214101443
744	4.212537613
745	4.210693757
746	4.208354168
747	4.206751851
748	4.205265795
749	4.20361447
750	4.201159702
751	4.198844055
752	4.198030075
753	4.196440743
754	4.19423992
755	4.191762858
756	4.189787407
757	4.187534562
758	4.185937144
759	4.184271387
760	4.183583635
761	4.181601957
762	4.180437048
763	4.179281156
764	4.176915718
765	4.174401311
766	4.172180497
767	4.170572889
768	4.168779544
769	4.167501481
770	4.166577664
771	4.163900684
772	4.161309879
773	4.158600742
774	4.156570975
775	4.154713335
776	4.151690992
777	4.149853919
778	4.146088007
779	4.143618126
780	4.142797225
781	4.140501056
782	4.136741287
783	4.134915971
784	4.132496267
785	4.130101391
786	4.128946032
787	4.124983007
788	4.12335266
789	4.121526826
790	4.120272625
791	4.118269306
792	4.116926476
793	4.115228502
794	4.113065254
795	4.111671627
796	4.109431772
797	4.108213871
798	4.105856141
799	4.10398103
800	4.101935141
801	4.100397526
802	4.098340718
803	4.096966701
804	4.095993276
805	4.094022402
806	4.091711057
807	4.090080147
808	4.088482324
809	4.086873351
810	4.084593453
811	4.08292289
812	4.07991615
813	4.077321983
814	4.075661161
815	4.074356297
816	4.070040896
817	4.068728105
818	4.066524553
819	4.064025372
820	4.061777232
821	4.059995175
822	4.056126201
823	4.054706864
824	4.053682285
825	4.052775334
826	4.049917286
827	4.047823397
828	4.045925877
829	4.044504106
830	4.043201777
831	4.0410275
832	4.03875043
833	4.03696932
834	4.035310173
835	4.032973639
836	4.031849345
837	4.029938861
838	4.027056156
839	4.025995369
840	4.023909631
841	4.02146545
842	4.020754254
843	4.017569018
844	4.016593849
845	4.014512623
846	4.012990278
847	4.011141783
848	4.008962689
849	4.005673922
850	4.004180493
851	4.003097793
852	4.001142757
853	3.998751341
854	3.997619534
855	3.994974231
856	3.993573824
857	3.991369618
858	3.98955761
859	3.986482319
860	3.985973263
861	3.98434852
862	3.981496881
863	3.97984443
864	3.97915483
865	3.976956625
866	3.975156356
867	3.973450878
868	3.971702721
869	3.970724047
870	3.968792073
871	3.965873835
872	3.963853052
873	3.962687713
874	3.960248841
875	3.957895627
876	3.956572695
877	3.955403902
878	3.95351066
879	3.951562123
880	3.950623684
881	3.949236708
882	3.947000352
883	3.945194814
884	3.942744314
885	3.940964297
886	3.938437098
887	3.937997172
888	3.93663531
889	3.934458699
890	3.932670315
891	3.929743599
892	3.926836712
893	3.92593029
894	3.923636968
895	3.922513899
896	3.920055834
897	3.91842128
898	3.917254866
899	3.915872722
900	3.913526645
901	3.911638124
902	3.9082228
903	3.906864151
904	3.905533923
905	3.903601498
906	3.901319394
907	3.899643704
908	3.897251657
909	3.894821002
910	3.892496393
911	3.890875586
912	3.890445458
913	3.888501354
914	3.887123496
915	3.885786329
916	3.884290841
917	3.88318246
918	3.880261514
919	3.879214146
920	3.876472223
921	3.875030203
922	3.874005742
923	3.87137161
924	3.868894554
925	3.867390126
926	3.865414992
927	3.864669495
928	3.862580127
929	3.86038821
930	3.859062326
931	3.857354426
932	3.856299241
933	3.85471037
934	3.853421135
935	3.85275568
936	3.85052308
937	3.848700458
938	3.8469563
939	3.844936571
940	3.84247407
941	3.83991215
942	3.838072541
943	3.83665765
944	3.834657399
945	3.832887564
946	3.83143457
947	3.830325229
948	3.829216781
949	3.827803812
950	3.825788992
951	3.824961213
952	3.823728513
953	3.820632701
954	3.818709983
955	3.817515504
956	3.815695417
957	3.814350533
958	3.812612895
959	3.811111821
960	3.810169969
961	3.808734303
962	3.806347509
963	3.804446725
964	3.8029006
965	3.800709836
966	3.799628011
967	3.798627868
968	3.794725984
969	3.79305519
970	3.791835216
971	3.790381674
972	3.788931121
973	3.787064501
974	3.786038087
975	3.784319233
976	3.782949073
977	3.781548247
978	3.780219067
979	3.776751324
980	3.775840705
981	3.773326174
982	3.772389324
983	3.771502843
984	3.768677023
985	3.76635837
986	3.765530355
987	3.763421471
988	3.762588293
989	3.760893515
990	3.760131387
991	3.757933067
992	3.756540449
993	3.754203652
994	3.75319441
995	3.751483924
996	3.749959423
997	3.747600522
998	3.746334161
999	3.745584851
